num,corner,vdd,i25,imax,imin,ppm
0,tt,3.3,2.21704E-05,2.29587E-05,2.08952E-05,522.825
1,tt,3.0,2.21739E-05,2.29618E-05,2.08993E-05,522.469
2,ss,3.0,2.1702E-05,2.24337E-05,2.04953E-05,501.717
3,ff,3.0,2.26545E-05,2.34977E-05,2.13086E-05,542.836
4,sf,3.0,2.21904E-05,2.30604E-05,2.08111E-05,569.659
5,fs,3.0,2.21375E-05,2.28286E-05,2.09618E-05,473.668
6,tt,3.6,2.21687E-05,2.29574E-05,2.08931E-05,523.049
7,ss,3.6,2.16974E-05,2.24298E-05,2.04899E-05,502.197
8,ff,3.6,2.26487E-05,2.34929E-05,2.13017E-05,543.517
9,sf,3.6,2.21857E-05,2.30564E-05,2.08056E-05,570.172
10,fs,3.6,2.21318E-05,2.28238E-05,2.0955E-05,474.319
